Date,Open,High,Low,Close,Change(Pips),Change(%),
04/04/2025 00:00,3112.88,3115.07,3108.99,3108.99,-389,-0.13,
04/03/2025 23:30,3112.72,3116.34,3112.58,3112.86,14,0.00,
04/03/2025 23:00,3115.36,3115.41,3109.78,3112.71,-265,-0.09,
04/03/2025 22:30,3114.4,3116.72,3112.4,3115.37,97,0.03,
04/03/2025 22:00,3114.01,3115.05,3112.86,3114.37,36,0.01,
04/03/2025 20:30,3110.02,3119.22,3109.83,3114.27,425,0.14,
04/03/2025 20:00,3107.54,3110.88,3107.36,3110,246,0.08,
04/03/2025 19:30,3107.06,3108.12,3101.49,3107.55,49,0.02,
04/03/2025 19:00,3111.62,3113.27,3106.67,3106.96,-466,-0.15,
04/03/2025 18:30,3104.86,3111.65,3102.12,3111.64,678,0.22,
04/03/2025 18:00,3109.46,3110.19,3102.84,3104.86,-460,-0.15,
04/03/2025 17:30,3100.98,3109.89,3099.89,3109.66,868,0.28,
04/03/2025 17:00,3107.41,3107.56,3100.68,3100.9,-651,-0.21,
04/03/2025 16:30,3108.31,3110.8,3106.49,3107.46,-85,-0.03,
04/03/2025 16:00,3110.62,3114.22,3101.7,3108.32,-230,-0.07,
04/03/2025 15:30,3106.34,3113.38,3105.58,3110.55,421,0.14,
04/03/2025 15:00,3128.89,3129.5,3104.05,3106.16,-2273,-0.73,
04/03/2025 14:30,3125.3,3135.53,3117.8,3128.63,333,0.11,
04/03/2025 14:00,3087.17,3126.52,3087.17,3125.22,3805,1.22,
04/03/2025 13:30,3065.38,3093.36,3064.18,3086.02,2064,0.67,
04/03/2025 13:00,3076.07,3076.18,3054.18,3065.37,-1070,-0.35,
04/03/2025 12:30,3078.66,3080.31,3061.98,3076.19,-247,-0.08,
04/03/2025 12:00,3093.01,3094.76,3074.59,3078.64,-1437,-0.47,
04/03/2025 11:30,3092.22,3097.3,3085.2,3093.07,85,0.03,
04/03/2025 11:00,3095.35,3099.95,3087.52,3092.28,-307,-0.10,
04/03/2025 10:30,3107.37,3113,3089.86,3094.89,-1248,-0.40,
04/03/2025 10:00,3121.48,3123.01,3104.75,3107.22,-1426,-0.46,
04/03/2025 09:30,3125.7,3129.11,3121.67,3121.7,-400,-0.13,
04/03/2025 09:00,3129.13,3129.59,3124.88,3125.73,-340,-0.11,
04/03/2025 08:30,3128.32,3130.79,3125.99,3129.15,83,0.03,
04/03/2025 08:00,3129.14,3132.1,3127.21,3128.35,-79,-0.03,
04/03/2025 07:30,3125,3130.14,3121.17,3129.04,404,0.13,
04/03/2025 07:00,3127.91,3128.09,3119.84,3124.81,-310,-0.10,
04/03/2025 06:30,3122.4,3131.54,3116.72,3127.56,516,0.16,
04/03/2025 06:00,3131.89,3133.74,3121.49,3122.24,-965,-0.31,
04/03/2025 05:30,3130.41,3133.71,3124.24,3131.48,107,0.03,
04/03/2025 05:00,3140.52,3140.99,3127.45,3130.41,-1011,-0.32,
04/03/2025 04:30,3148.02,3148.07,3138.81,3140.49,-753,-0.24,
04/03/2025 04:00,3147.94,3149.63,3147.08,3148.11,17,0.01,
04/03/2025 03:30,3148.18,3150.17,3146.3,3147.94,-24,-0.01,
04/03/2025 03:00,3145.15,3152.2,3144.78,3148.09,294,0.09,
04/03/2025 02:30,3150.18,3151.09,3142.49,3145.04,-514,-0.16,
04/03/2025 02:00,3153.32,3155.42,3147.98,3150.14,-318,-0.10,
04/03/2025 01:30,3152.45,3162.8,3150.69,3153.44,99,0.03,
04/03/2025 01:00,3151.62,3156.36,3147.72,3152.4,78,0.02,
04/03/2025 00:30,3148.02,3155.68,3144.68,3151.4,338,0.11,
04/03/2025 00:00,3162.29,3164.6,3140.79,3148.08,-1421,-0.45,
04/02/2025 23:30,3159.85,3167.68,3157.15,3162.23,238,0.08,
04/02/2025 23:00,3145.74,3159.98,3145.74,3159.68,1394,0.44,
04/02/2025 22:30,3136.6,3146.07,3135.65,3145.7,910,0.29,
04/02/2025 22:00,3131.82,3155.65,3110.52,3136.62,480,0.15,
04/02/2025 20:30,3133.41,3157.37,3124.83,3130.1,-331,-0.11,
