<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.07	01:38:00	3013.82	3016.52	3012.59	3016.52	65	0	98
2025.04.07	01:39:00	3016.46	3019.69	3015.79	3019.03	76	0	114
2025.04.07	01:40:00	3019.31	3021.44	3019.01	3020.82	100	0	104
2025.04.07	01:41:00	3020.44	3020.53	3015.47	3015.82	80	0	76
2025.04.07	01:42:00	3015.88	3016.09	3012.28	3012.41	86	0	84
2025.04.07	01:43:00	3012.42	3015.27	3012.42	3013.93	76	0	84
2025.04.07	01:44:00	3013.93	3016.24	3012.74	3016.24	86	0	95
2025.04.07	01:45:00	3015.98	3017.00	3014.30	3014.32	29	0	10
2025.04.07	01:46:00	3014.32	3015.23	3009.78	3011.91	45	0	23
2025.04.07	01:47:00	3011.25	3013.87	3011.21	3013.78	36	0	130
2025.04.07	01:48:00	3013.36	3014.37	3012.04	3014.02	45	0	68
2025.04.07	01:49:00	3014.01	3017.28	3013.59	3014.76	85	0	78
2025.04.07	01:50:00	3014.78	3015.39	3013.59	3015.22	31	0	107
2025.04.07	01:51:00	3015.35	3015.55	3005.86	3006.02	29	0	85
2025.04.07	01:52:00	3007.39	3009.56	3006.80	3009.55	59	0	125
2025.04.07	01:53:00	3009.57	3010.65	3009.48	3010.55	38	0	56
2025.04.07	01:54:00	3010.55	3011.99	3007.91	3009.07	56	0	63
2025.04.07	01:55:00	3009.04	3009.06	3007.52	3007.89	36	0	100
2025.04.07	01:56:00	3009.60	3009.61	3009.21	3009.56	15	0	74
2025.04.07	01:57:00	3009.56	3010.07	3009.13	3010.07	10	0	74
2025.04.07	01:58:00	3009.62	3010.14	3008.31	3008.35	17	0	77
2025.04.07	01:59:00	3008.39	3009.83	3008.39	3009.39	21	0	47
2025.04.07	02:00:00	3009.44	3015.18	3008.57	3015.18	55	0	80
2025.04.07	02:01:00	3014.87	3015.03	3012.96	3013.50	34	0	79
2025.04.07	02:02:00	3013.50	3014.57	3013.50	3014.57	17	0	86
2025.04.07	02:03:00	3014.57	3014.96	3014.30	3014.63	28	0	102
2025.04.07	02:04:00	3014.24	3014.24	3011.85	3013.96	26	0	124
2025.04.07	02:05:00	3013.96	3013.96	3013.67	3013.70	7	0	103
2025.04.07	02:06:00	3013.70	3015.58	3013.70	3015.14	38	0	98
2025.04.07	02:07:00	3015.13	3016.60	3015.13	3016.60	27	0	29
2025.04.07	02:08:00	3013.36	3016.38	3013.23	3015.57	36	0	74
2025.04.07	02:09:00	3015.67	3015.67	3011.81	3012.26	30	0	84
2025.04.07	02:10:00	3012.37	3013.48	3011.59	3012.67	30	0	73
2025.04.07	02:11:00	3012.92	3012.98	3009.53	3010.59	39	0	53
2025.04.07	02:12:00	3010.29	3010.98	3006.55	3008.29	59	0	43
2025.04.07	02:13:00	3006.95	3009.85	3004.27	3009.02	89	0	57
2025.04.07	02:14:00	3009.00	3010.95	3008.06	3008.66	66	0	25
2025.04.07	02:15:00	3008.46	3008.63	3005.14	3005.88	46	0	63
2025.04.07	02:16:00	3004.85	3006.43	3004.85	3005.01	42	0	73
2025.04.07	02:17:00	3005.35	3008.41	3005.35	3006.87	44	0	64
2025.04.07	02:18:00	3006.92	3007.39	3003.61	3003.61	62	0	7
2025.04.07	02:19:00	3004.28	3004.34	2998.21	2999.05	113	0	52
2025.04.07	02:20:00	2998.94	2999.21	2997.02	2997.78	77	0	54
2025.04.07	02:21:00	2997.65	2999.07	2995.21	2999.07	84	0	64
2025.04.07	02:22:00	2998.67	2999.37	2987.38	2988.47	89	0	63
2025.04.07	02:23:00	2988.19	2997.88	2987.97	2996.55	87	0	43
2025.04.07	02:24:00	2996.47	2996.47	2991.20	2991.26	55	0	63
2025.04.07	02:25:00	2992.75	2993.70	2990.67	2990.70	55	0	44
2025.04.07	02:26:00	2990.89	2993.55	2989.02	2993.50	97	0	54
2025.04.07	02:27:00	2993.20	2993.29	2985.95	2988.04	84	0	74
2025.04.07	02:28:00	2988.04	2989.57	2982.34	2989.36	104	0	43
2025.04.07	02:29:00	2989.54	2989.54	2982.43	2984.51	77	0	61
2025.04.07	02:30:00	2984.97	2985.86	2981.35	2983.85	88	0	53
2025.04.07	02:31:00	2984.88	2987.02	2981.75	2981.75	68	0	63
2025.04.07	02:32:00	2982.26	2983.62	2977.46	2979.82	91	0	53
2025.04.07	02:33:00	2979.82	2984.69	2979.82	2984.69	80	0	54
2025.04.07	02:34:00	2983.90	2987.18	2979.01	2980.75	103	0	5
2025.04.07	02:35:00	2980.78	2985.60	2980.00	2984.42	89	0	53
2025.04.07	02:36:00	2984.09	2984.22	2981.99	2981.99	70	0	39
2025.04.07	02:37:00	2982.00	2982.11	2979.50	2980.13	49	0	20
2025.04.07	02:38:00	2980.17	2981.29	2976.41	2978.64	95	0	33
2025.04.07	02:39:00	2978.60	2982.81	2978.60	2980.42	76	0	43
2025.04.07	02:40:00	2980.32	2985.49	2980.32	2983.15	83	0	24
2025.04.07	02:41:00	2983.15	2988.64	2982.95	2988.47	80	0	44
2025.04.07	02:42:00	2988.29	2990.53	2984.33	2989.59	69	0	17
2025.04.07	02:43:00	2989.52	2989.52	2986.61	2989.05	75	0	78
2025.04.07	02:44:00	2989.04	2989.35	2986.36	2987.44	32	0	63
2025.04.07	02:45:00	2987.87	2989.18	2984.22	2984.22	64	0	23
2025.04.07	02:46:00	2984.60	2987.40	2984.45	2986.85	76	0	26
2025.04.07	02:47:00	2986.78	2988.42	2985.71	2987.24	63	0	24
2025.04.07	02:48:00	2987.24	2993.61	2986.91	2993.61	63	0	34
2025.04.07	02:49:00	2993.62	2997.98	2992.50	2995.64	114	0	12
2025.04.07	02:50:00	2995.42	2999.92	2994.08	2994.34	92	0	17
2025.04.07	02:51:00	2994.79	2995.26	2990.51	2991.38	100	0	43
2025.04.07	02:52:00	2991.39	2992.38	2990.01	2991.98	72	0	74
2025.04.07	02:53:00	2990.97	2992.98	2988.85	2992.50	85	0	23
2025.04.07	02:54:00	2993.00	2995.06	2992.04	2993.13	85	0	34
2025.04.07	02:55:00	2993.51	2997.06	2993.42	2995.56	80	0	23
2025.04.07	02:56:00	2995.11	2995.97	2993.49	2995.00	69	0	59
2025.04.07	02:57:00	2994.78	2999.90	2994.68	2997.25	72	0	23
2025.04.07	02:58:00	2997.53	3001.51	2997.42	3000.08	110	0	17
2025.04.07	02:59:00	3000.20	3001.86	2998.31	2999.93	100	0	34
2025.04.07	03:00:00	2999.32	3007.02	2998.98	3005.24	122	0	17
2025.04.07	03:01:00	3005.50	3009.42	3002.26	3005.98	113	0	15
2025.04.07	03:02:00	3005.84	3008.93	3005.06	3007.55	107	0	11
2025.04.07	03:03:00	3007.35	3007.35	3000.18	3001.29	95	0	52
2025.04.07	03:04:00	3001.32	3002.74	2999.20	2999.41	97	0	22
2025.04.07	03:05:00	2998.79	3002.36	2998.79	3002.11	105	0	30
2025.04.07	03:06:00	3002.17	3002.17	2995.06	2995.06	100	0	43
